"id","escolha","tempo_carro","tempo_transporte_publico","tempo_bicicleta","custo_carro","custo_transporte_publico","custo_bicicleta","renda","idade","genero","ocupacao_empregado","ocupacao_autonomo","educacao_fundamental","educacao_medio","educacao_superior","possui_carro"
1,2,65.5643767072,81.7992300547318,99.8142112401336,25.9503509622908,13.0524380302875,6.03305726257943,8751.73420151063,29.772060026038,2,1,0,1,0,0,0
2,1,36.5295274290587,41.5607254279093,52.7729718299731,15.1447330869066,6.49196433005135,2.87522186415035,7166.22785251696,28.4874263770051,2,0,1,1,0,0,1
3,1,50.4469261700601,63.7887045033005,64.7689576589296,17.8244004984515,10.0450588926842,2.59950921590721,2825.79279721147,33.1159501728575,2,1,0,0,0,1,0
4,2,54.4929390744156,63.8602342529913,82.7275663697602,14.2618403829157,8.17796990384235,0.794836884644174,1979.88516843294,24.2159526624922,2,1,0,0,1,0,1
5,1,51.064024847115,59.6862124845382,86.2086257766553,6.02439962074706,3.91714709608613,2.77991238459028,4124.57500859462,51.3891255865606,2,1,0,1,0,0,1
6,2,43.4081322586277,49.0601774571993,60.4715986374077,8.41510252171173,5.17016823844314,2.96717585449925,9097.51468544989,27.44651866196,1,0,1,1,0,0,0
7,2,67.6728299615841,72.493129929858,99.8643254788319,12.9915085384809,7.24025839715641,0.837116330230575,7543.39023827471,53.3518752503794,1,1,0,1,0,0,1
8,2,43.5801144238035,52.0219770935094,70.1305291509565,-5.5708630714654,-1.74947286747452,-0.0239296144466838,5797.71772977137,20.5486729418341,1,0,1,1,0,0,1
9,1,75.2763557081556,82.94541149628,121.135202812923,6.91251464052871,3.69263436994474,0.814309456372828,5654.08382905523,48.1067452303222,2,0,1,0,1,0,0
10,2,44.0592885142137,56.5904907548288,62.2687156239546,16.7915070733407,10.1032314744751,3.8754289663287,9654.70110443813,30.7614199062472,2,1,0,0,1,0,1
11,1,64.5730448133523,78.7377504474692,94.2081968499936,10.2092640722087,5.512710894453,1.52222303306356,3167.4770467098,39.5786603281105,2,0,0,1,0,0,1
12,2,79.2996808905166,88.9121355756438,110.121415589766,10.2983317383278,6.35702325930246,3.67008986156371,10244.5292992713,47.173334680155,1,1,0,0,0,1,1
13,1,24.1670894833149,44.7295639788294,37.3265518928169,17.2171158398926,7.99821659702476,4.78302322775095,9347.88803371276,26.9943780008969,1,1,0,0,0,1,0
14,1,40.8181684977394,47.6066486022338,67.8862593895925,8.73386829180614,2.84393636989606,2.88392769252335,5389.81243866904,40.8487341817156,1,1,0,0,1,0,1
15,1,43.0001799540951,48.574877235078,64.4200953092812,15.7728194122656,8.35798107599429,2.70552512143665,7706.75620592618,37.4637312006553,2,1,0,1,0,0,1
16,2,54.5392559710511,65.553637787402,86.3753297982547,3.46599325232765,1.00787922259288,0.345419702441011,10679.3006411488,24.5773963572502,1,0,1,0,0,1,1
17,2,40.7362061787589,55.7600466000939,61.7187765383936,4.6349241999943,-0.196543314700397,1.08996426042592,12052.7452857988,44.9204602738881,1,1,0,0,1,0,1
18,1,5.15316868642837,10.8486628369427,9.39624463655454,1.95536690553341,1.36357340440764,-0.123389276545668,12466.9111829255,10.3790934794739,2,0,1,0,1,0,0
19,1,8.39299607136721,21.3798598051472,17.7621624506801,12.5063908934693,7.01876736572346,1.34387314910093,9113.2016385418,56.5281366102738,2,1,0,1,0,0,0
20,2,64.8017001859529,76.8327213337861,100.341388393065,10.7632460161776,6.44392839031094,1.96082571763349,7356.58026946229,52.3558548676335,1,1,0,0,1,0,1
21,2,40.4004210888229,46.7496801495694,51.3674094566452,20.6512298416924,9.3915276239523,3.0634376999308,9366.48376981743,35.5798774416249,2,1,0,0,1,0,1
22,1,18.2803734903,33.0904802954535,33.6082186592353,11.7493073796878,5.58395126306418,2.67792134857892,7225.66666923179,32.8127410417684,2,0,0,0,0,1,0
23,2,42.4212396636057,49.2779916753817,63.9412045207719,20.1225268665827,11.8246066623739,3.56093054555948,4991.22874368765,42.1633837266836,2,0,1,1,0,0,0
24,1,63.220120487589,72.4839600358581,106.393313641091,23.671351655537,12.4138167098537,4.41090467631323,10532.4304483938,32.175464794649,1,1,0,1,0,0,1
25,2,73.4279019189745,85.0176302141461,122.985494931579,9.05437059775115,4.1961605232356,0.146531732007334,10083.9763276899,35.6563270371829,2,1,0,0,0,1,1
26,1,38.542963025907,58.2257302026554,53.3968107860729,14.3306344496677,8.64488202504235,4.57407541035367,11783.0112429419,40.7575689405901,2,0,1,0,0,1,1
27,1,41.1409592584661,44.0497072343671,71.2680500035038,6.93064044488412,3.75007714786249,1.25752992887121,12999.677868013,36.8641549035578,2,1,0,0,1,0,0
28,1,18.5525537220783,22.8732428184112,29.1632680725277,16.4279422072265,7.44013802975776,3.00543314491448,12415.573814268,58.522394485822,1,0,1,0,1,0,0
29,1,51.9014603224691,54.0877270149165,76.0928897627807,5.52143801229683,1.86947618047828,2.27901868549212,10367.9471152533,33.9710119889459,1,1,0,1,0,0,1
30,1,35.4000768605982,40.5025460303629,53.7130547961086,5.84115674253824,3.10194680558194,0.162549010040075,7890.63718644997,27.4961021079759,2,0,1,0,1,0,1
31,2,51.8317518486183,61.2511948460764,80.388675127251,13.7327601694733,7.73593108387833,2.01951144666537,7726.15017007249,24.4093460994382,1,1,0,0,1,0,1
32,2,55.5725600584323,61.2548974562031,82.8709698728908,12.544867915723,6.90619944124121,3.22844286735291,6761.41118287429,31.2077524072197,1,1,0,0,1,0,1
33,2,60.5265528295488,66.7379248071754,86.2915922449065,13.5757390602673,7.43486237320786,3.53648072269591,5656.81640503976,26.3073871624553,2,0,1,0,1,0,1
34,2,35.8661043688918,52.9372612469266,55.33179653729,12.4160094767475,5.25040294880415,0.76952834463991,6829.72164376436,49.3409880901552,1,0,1,1,0,0,1
